date,currency,rate
2023-08-16,AUD,1.6895
2023-08-17,AUD,1.6931
2023-08-18,AUD,1.6999
2023-08-19,AUD,1.6999
2023-08-20,AUD,1.6999
2023-08-21,AUD,1.6995
2023-08-22,AUD,1.6878
2023-08-23,AUD,1.684
2023-08-24,AUD,1.6838
2023-08-25,AUD,1.6809
2023-08-26,AUD,1.6809
2023-08-27,AUD,1.6809
2023-08-28,AUD,1.6839
2023-08-29,AUD,1.6832
2023-08-30,AUD,1.6814
2023-08-31,AUD,1.6785
2023-09-01,AUD,1.6737
2023-09-02,AUD,1.6737
2023-09-03,AUD,1.6737
2023-09-04,AUD,1.6708
2023-09-05,AUD,1.6859
2023-09-06,AUD,1.6801
2023-09-07,AUD,1.6767
2023-09-08,AUD,1.6743
2023-09-09,AUD,1.6743
2023-09-10,AUD,1.6743
2023-09-11,AUD,1.6655
2023-09-12,AUD,1.6682
2023-09-13,AUD,1.6762
2023-09-14,AUD,1.6648
2023-09-15,AUD,1.6498
2023-09-16,AUD,1.6498
2023-09-17,AUD,1.6498
2023-09-18,AUD,1.6575
2023-09-19,AUD,1.6566
2023-09-20,AUD,1.6498
2023-09-21,AUD,1.6617
2023-09-22,AUD,1.6496
2023-09-23,AUD,1.6496
2023-09-24,AUD,1.6496
2023-09-25,AUD,1.6544
2023-09-26,AUD,1.6539
2023-09-27,AUD,1.6541
2023-09-28,AUD,1.6483
2023-09-29,AUD,1.6339
2023-09-30,AUD,1.6339
2023-10-01,AUD,1.6339
2023-10-02,AUD,1.6472
2023-10-03,AUD,1.6612
2023-10-04,AUD,1.6615
2023-10-05,AUD,1.658
2023-10-06,AUD,1.6612
2023-10-07,AUD,1.6612
2023-10-08,AUD,1.6612
2023-10-09,AUD,1.6546
2023-10-10,AUD,1.6538
2023-10-11,AUD,1.6529
2023-10-12,AUD,1.6584
2023-10-13,AUD,1.6662
2023-10-14,AUD,1.6662
2023-10-15,AUD,1.6662
2023-10-16,AUD,1.666
2023-10-17,AUD,1.6622
2023-10-18,AUD,1.6586
2023-10-19,AUD,1.6718
2023-10-20,AUD,1.6772
2023-10-21,AUD,1.6772
2023-10-22,AUD,1.6772
2023-10-23,AUD,1.6805
2023-10-24,AUD,1.6708
2023-10-25,AUD,1.6678
2023-10-26,AUD,1.6719
2023-10-27,AUD,1.6616
2023-10-28,AUD,1.6616
2023-10-29,AUD,1.6616
2023-10-30,AUD,1.6637
2023-10-31,AUD,1.6739
2023-11-01,AUD,1.6561
2023-11-02,AUD,1.6543
2023-11-03,AUD,1.6478
2023-11-04,AUD,1.6478
2023-11-05,AUD,1.6478
2023-11-06,AUD,1.6524
2023-11-07,AUD,1.6636
2023-11-08,AUD,1.6592
2023-11-09,AUD,1.6699
2023-11-10,AUD,1.6795
2023-11-11,AUD,1.6795
2023-11-12,AUD,1.6795
2023-11-13,AUD,1.6742
2023-11-14,AUD,1.6819
2023-11-15,AUD,1.6648
2023-11-16,AUD,1.6736
2023-11-17,AUD,1.6709
2023-11-18,AUD,1.6709
2023-11-19,AUD,1.6709
2023-11-20,AUD,1.6669
2023-11-21,AUD,1.6653
2023-11-22,AUD,1.6618
2023-11-23,AUD,1.6633
2023-11-24,AUD,1.6621
2023-11-25,AUD,1.6621
2023-11-26,AUD,1.6621
2023-11-27,AUD,1.6575
2023-11-28,AUD,1.6567
2023-11-29,AUD,1.6586
2023-11-30,AUD,1.6542
2023-12-01,AUD,1.6448
2023-12-02,AUD,1.6448
2023-12-03,AUD,1.6448
2023-12-04,AUD,1.6351
2023-12-05,AUD,1.6492
2023-12-06,AUD,1.6391
2023-12-07,AUD,1.6407
2023-12-08,AUD,1.6327
2023-12-09,AUD,1.6327
2023-12-10,AUD,1.6327
2023-12-11,AUD,1.642
2023-12-12,AUD,1.6398
2023-12-13,AUD,1.6452
2023-12-14,AUD,1.6288
2023-12-15,AUD,1.6324
2023-12-16,AUD,1.6324
2023-12-17,AUD,1.6324
2023-12-18,AUD,1.6225
2023-12-19,AUD,1.6273
2023-12-20,AUD,1.6186
2023-12-21,AUD,1.6243
2023-12-22,AUD,1.6197
2023-12-23,AUD,1.6197
2023-12-24,AUD,1.6197
2023-12-25,AUD,1.6197
2023-12-26,AUD,1.6197
2023-12-27,AUD,1.617
2023-12-28,AUD,1.6246
2023-12-29,AUD,1.6263
2023-12-30,AUD,1.6263
2023-12-31,AUD,1.6263
2024-01-01,AUD,1.6263
2024-01-02,AUD,1.6147
2024-01-03,AUD,1.6236
2024-01-04,AUD,1.628
2024-01-05,AUD,1.6337
2024-01-06,AUD,1.6337
2024-01-07,AUD,1.6337
2024-01-08,AUD,1.6378
2024-01-09,AUD,1.6339
2024-01-10,AUD,1.6334
2024-01-11,AUD,1.6369
2024-01-12,AUD,1.6375
2024-01-13,AUD,1.6375
2024-01-14,AUD,1.6375
2024-01-15,AUD,1.6449
2024-01-16,AUD,1.6484
2024-01-17,AUD,1.6592
2024-01-18,AUD,1.6579
2024-01-19,AUD,1.65
2024-01-20,AUD,1.65
2024-01-21,AUD,1.65
2024-01-22,AUD,1.652
2024-01-23,AUD,1.6493
2024-01-24,AUD,1.652
2024-01-25,AUD,1.6537
2024-01-26,AUD,1.6483
2024-01-27,AUD,1.6483
2024-01-28,AUD,1.6483
2024-01-29,AUD,1.6398
2024-01-30,AUD,1.6462
2024-01-31,AUD,1.6468
2024-02-01,AUD,1.6594
2024-02-02,AUD,1.6468
2024-02-03,AUD,1.6468
2024-02-04,AUD,1.6468
2024-02-05,AUD,1.6562
2024-02-06,AUD,1.6515
2024-02-07,AUD,1.6504
2024-02-08,AUD,1.6569
2024-02-09,AUD,1.6543
2024-02-10,AUD,1.6543
2024-02-11,AUD,1.6543
2024-02-12,AUD,1.6505
2024-02-13,AUD,1.6526
2024-02-14,AUD,1.6521
2024-02-15,AUD,1.6525
2024-02-16,AUD,1.6517
2024-02-17,AUD,1.6517
2024-02-18,AUD,1.6517
2024-02-19,AUD,1.6479
2024-02-20,AUD,1.6457
2024-02-21,AUD,1.6486
2024-02-22,AUD,1.6515
2024-02-23,AUD,1.6467
2024-02-24,AUD,1.6467
2024-02-25,AUD,1.6467
2024-02-26,AUD,1.656
2024-02-27,AUD,1.6565
2024-02-28,AUD,1.6639
2024-02-29,AUD,1.6684
2024-03-01,AUD,1.6637
2024-03-02,AUD,1.6637
2024-03-03,AUD,1.6637
2024-03-04,AUD,1.664
2024-03-05,AUD,1.6709
2024-03-06,AUD,1.6667
2024-03-07,AUD,1.6501
2024-03-08,AUD,1.6469
2024-03-09,AUD,1.6469
2024-03-10,AUD,1.6469
2024-03-11,AUD,1.6546
2024-03-12,AUD,1.6533
2024-03-13,AUD,1.6542
2024-03-14,AUD,1.6529
2024-03-15,AUD,1.6579
2024-03-16,AUD,1.6579
2024-03-17,AUD,1.6579
2024-03-18,AUD,1.6583
2024-03-19,AUD,1.6651
2024-03-20,AUD,1.6633
2024-03-21,AUD,1.6535
2024-03-22,AUD,1.6601
2024-03-23,AUD,1.6601
2024-03-24,AUD,1.6601
2024-03-25,AUD,1.658
2024-03-26,AUD,1.6574
2024-03-27,AUD,1.66
2024-03-28,AUD,1.6607
2024-03-29,AUD,1.6607
2024-03-30,AUD,1.6607
2024-03-31,AUD,1.6607
2024-04-01,AUD,1.6607
2024-04-02,AUD,1.6522
2024-04-03,AUD,1.6539
2024-04-04,AUD,1.6446
2024-04-05,AUD,1.6461
2024-04-06,AUD,1.6461
2024-04-07,AUD,1.6461
2024-04-08,AUD,1.6433
2024-04-09,AUD,1.6407
2024-04-10,AUD,1.6399
2024-04-11,AUD,1.6448
2024-04-12,AUD,1.6413
2024-04-13,AUD,1.6413
2024-04-14,AUD,1.6413
2024-04-15,AUD,1.6441
2024-04-16,AUD,1.6578
2024-04-17,AUD,1.6556
2024-04-18,AUD,1.6567
2024-04-19,AUD,1.6622
2024-04-20,AUD,1.6622
2024-04-21,AUD,1.6622
2024-04-22,AUD,1.6517
2024-04-23,AUD,1.6536
2024-04-24,AUD,1.6421
2024-04-25,AUD,1.6415
2024-04-26,AUD,1.6392
2024-04-27,AUD,1.6392
2024-04-28,AUD,1.6392
2024-04-29,AUD,1.6322
2024-04-30,AUD,1.6423
2024-05-01,AUD,1.6423
2024-05-02,AUD,1.6386
2024-05-03,AUD,1.633
2024-05-04,AUD,1.633
2024-05-05,AUD,1.633
2024-05-06,AUD,1.6248
2024-05-07,AUD,1.6297
2024-05-08,AUD,1.6374
2024-05-09,AUD,1.6299
2024-05-10,AUD,1.632
2024-05-11,AUD,1.632
2024-05-12,AUD,1.632
2024-05-13,AUD,1.6305
2024-05-14,AUD,1.6329
2024-05-15,AUD,1.6308
2024-05-16,AUD,1.629
2024-05-17,AUD,1.6281
2024-05-18,AUD,1.6281
2024-05-19,AUD,1.6281
2024-05-20,AUD,1.6259
2024-05-21,AUD,1.6278
2024-05-22,AUD,1.6288
2024-05-23,AUD,1.6333
2024-05-24,AUD,1.6394
2024-05-25,AUD,1.6394
2024-05-26,AUD,1.6394
2024-05-27,AUD,1.632
2024-05-28,AUD,1.6314
2024-05-29,AUD,1.637
2024-05-30,AUD,1.6341
2024-05-31,AUD,1.6315
2024-06-01,AUD,1.6315
2024-06-02,AUD,1.6315
2024-06-03,AUD,1.629
2024-06-04,AUD,1.6364
2024-06-05,AUD,1.6353
2024-06-06,AUD,1.6368
2024-06-07,AUD,1.6345
2024-06-08,AUD,1.6345
2024-06-09,AUD,1.6345
2024-06-10,AUD,1.6304
2024-06-11,AUD,1.626
2024-06-12,AUD,1.628
2024-06-13,AUD,1.6232
2024-06-14,AUD,1.6156
2024-06-15,AUD,1.6156
2024-06-16,AUD,1.6156
2024-06-17,AUD,1.6246
2024-06-18,AUD,1.6207
2024-06-19,AUD,1.6125
2024-06-20,AUD,1.6076
2024-06-21,AUD,1.6031
2024-06-22,AUD,1.6031
2024-06-23,AUD,1.6031
2024-06-24,AUD,1.6157
2024-06-25,AUD,1.6109
2024-06-26,AUD,1.6053
2024-06-27,AUD,1.6078
2024-06-28,AUD,1.6079
2024-06-29,AUD,1.6079
2024-06-30,AUD,1.6079
2024-07-01,AUD,1.6109
2024-07-02,AUD,1.612
2024-07-03,AUD,1.6123
2024-07-04,AUD,1.6046
2024-07-05,AUD,1.6073
2024-07-06,AUD,1.6073
2024-07-07,AUD,1.6073
2024-07-08,AUD,1.6067
2024-07-09,AUD,1.6062
2024-07-10,AUD,1.6056
2024-07-11,AUD,1.6075
2024-07-12,AUD,1.6076
2024-07-13,AUD,1.6076
2024-07-14,AUD,1.6076
2024-07-15,AUD,1.6088
2024-07-16,AUD,1.6169
2024-07-17,AUD,1.6222
2024-07-18,AUD,1.6237
2024-07-19,AUD,1.6276
2024-07-20,AUD,1.6276
2024-07-21,AUD,1.6276
2024-07-22,AUD,1.637
2024-07-23,AUD,1.6396
2024-07-24,AUD,1.6428
2024-07-25,AUD,1.6638
2024-07-26,AUD,1.6559
2024-07-27,AUD,1.6559
2024-07-28,AUD,1.6559
2024-07-29,AUD,1.6534
2024-07-30,AUD,1.656
2024-07-31,AUD,1.6635
2024-08-01,AUD,1.6501
2024-08-02,AUD,1.6629
2024-08-03,AUD,1.6629
2024-08-04,AUD,1.6629
2024-08-05,AUD,1.7008
2024-08-06,AUD,1.6837
2024-08-07,AUD,1.6643
2024-08-08,AUD,1.6677
2024-08-09,AUD,1.6609
2024-08-10,AUD,1.6609
2024-08-11,AUD,1.6609
2024-08-12,AUD,1.656
2024-08-13,AUD,1.6572
2024-08-14,AUD,1.6643
2024-08-15,AUD,1.6609
2024-08-16,AUD,1.6577
2024-08-17,AUD,1.6577
2024-08-18,AUD,1.6577
2024-08-19,AUD,1.6486
2024-08-20,AUD,1.6454
2024-08-21,AUD,1.6495
2024-08-22,AUD,1.655
2024-08-23,AUD,1.6518
2024-08-24,AUD,1.6518
2024-08-25,AUD,1.6518
2024-08-26,AUD,1.6496
2024-08-27,AUD,1.6461
2024-08-28,AUD,1.6407
2024-08-29,AUD,1.6274
2024-08-30,AUD,1.6301
2024-08-31,AUD,1.6301
2024-09-01,AUD,1.6301
2024-09-02,AUD,1.6322
2024-09-03,AUD,1.6394
2024-09-04,AUD,1.645
2024-09-05,AUD,1.6498
2024-09-06,AUD,1.6503
2024-09-07,AUD,1.6503
2024-09-08,AUD,1.6503
2024-09-09,AUD,1.6596
2024-09-10,AUD,1.6551
2024-09-11,AUD,1.656
2024-09-12,AUD,1.6497
2024-09-13,AUD,1.6542
2024-09-14,AUD,1.6542
2024-09-15,AUD,1.6542
2024-09-16,AUD,1.6492
2024-09-17,AUD,1.6472
2024-09-18,AUD,1.64
2024-09-19,AUD,1.6352
2024-09-20,AUD,1.6388
2024-09-21,AUD,1.6388
2024-09-22,AUD,1.6388
2024-09-23,AUD,1.6274
2024-09-24,AUD,1.6237
2024-09-25,AUD,1.6276
2024-09-26,AUD,1.6217
2024-09-27,AUD,1.618
2024-09-28,AUD,1.618
2024-09-29,AUD,1.618
2024-09-30,AUD,1.6166
2024-10-01,AUD,1.604
2024-10-02,AUD,1.6048
2024-10-03,AUD,1.6124
2024-10-04,AUD,1.6121
2024-10-05,AUD,1.6121
2024-10-06,AUD,1.6121
2024-10-07,AUD,1.6155
2024-10-08,AUD,1.6293
2024-10-09,AUD,1.6283
2024-10-10,AUD,1.6276
2024-10-11,AUD,1.6233
2024-10-12,AUD,1.6233
2024-10-13,AUD,1.6233
2024-10-14,AUD,1.6248
2024-10-15,AUD,1.6236
2024-10-16,AUD,1.6291
2024-10-17,AUD,1.6228
2024-10-18,AUD,1.6165
2024-10-19,AUD,1.6165
2024-10-20,AUD,1.6165
2024-10-21,AUD,1.623
2024-10-22,AUD,1.6177
2024-10-23,AUD,1.6233
2024-10-24,AUD,1.6234
2024-10-25,AUD,1.6311
2024-10-26,AUD,1.6311
2024-10-27,AUD,1.6311
2024-10-28,AUD,1.6372
2024-10-29,AUD,1.6423
2024-10-30,AUD,1.646
2024-10-31,AUD,1.6559
2024-11-01,AUD,1.653
2024-11-02,AUD,1.653
2024-11-03,AUD,1.653
2024-11-04,AUD,1.6516
2024-11-05,AUD,1.6452
2024-11-06,AUD,1.6301
2024-11-07,AUD,1.6196
2024-11-08,AUD,1.6259
2024-11-09,AUD,1.6259
2024-11-10,AUD,1.6259
2024-11-11,AUD,1.6186
2024-11-12,AUD,1.6206
2024-11-13,AUD,1.6299
2024-11-14,AUD,1.6285
2024-11-15,AUD,1.6345
2024-11-16,AUD,1.6345
2024-11-17,AUD,1.6345
2024-11-18,AUD,1.6352
2024-11-19,AUD,1.6264
2024-11-20,AUD,1.6225
2024-11-21,AUD,1.6141
2024-11-22,AUD,1.6018
2024-11-23,AUD,1.6018
2024-11-24,AUD,1.6018
2024-11-25,AUD,1.6111
2024-11-26,AUD,1.6191
2024-11-27,AUD,1.6247
2024-11-28,AUD,1.6228
2024-11-29,AUD,1.6245
2022-12-30,BGN,1.9558
2022-12-31,BGN,1.9558
2023-01-01,BGN,1.9558
2023-01-02,BGN,1.9558
2023-01-03,BGN,1.9558
2023-01-04,BGN,1.9558
2023-01-05,BGN,1.9558
2023-01-06,BGN,1.9558
2023-01-07,BGN,1.9558
2023-01-08,BGN,1.9558
2023-01-09,BGN,1.9558
2023-01-10,BGN,1.9558
2023-01-11,BGN,1.9558
2023-01-12,BGN,1.9558
2023-01-13,BGN,1.9558
2023-01-14,BGN,1.9558
2023-01-15,BGN,1.9558
2023-01-16,BGN,1.9558
2023-01-17,BGN,1.9558
2023-01-18,BGN,1.9558
2023-01-19,BGN,1.9558
2023-01-20,BGN,1.9558
2023-01-21,BGN,1.9558
2023-01-22,BGN,1.9558
2023-01-23,BGN,1.9558
2023-01-24,BGN,1.9558
2023-01-25,BGN,1.9558
2023-01-26,BGN,1.9558
2023-01-27,BGN,1.9558
2023-01-28,BGN,1.9558
2023-01-29,BGN,1.9558
2023-01-30,BGN,1.9558
2023-01-31,BGN,1.9558
2023-02-01,BGN,1.9558
2023-02-02,BGN,1.9558
2023-02-03,BGN,1.9558
2023-02-04,BGN,1.9558
2023-02-05,BGN,1.9558
2023-02-06,BGN,1.9558
2023-02-07,BGN,1.9558
2023-02-08,BGN,1.9558
2023-02-09,BGN,1.9558
2023-02-10,BGN,1.9558
2023-02-11,BGN,1.9558
2023-02-12,BGN,1.9558
2023-02-13,BGN,1.9558
2023-02-14,BGN,1.9558
2023-02-15,BGN,1.9558
2023-02-16,BGN,1.9558
2023-02-17,BGN,1.9558
2023-02-18,BGN,1.9558
2023-02-19,BGN,1.9558
2023-02-20,BGN,1.9558
2023-02-21,BGN,1.9558
2023-02-22,BGN,1.9558
2023-02-23,BGN,1.9558
2023-02-24,BGN,1.9558
2023-02-25,BGN,1.9558
2023-02-26,BGN,1.9558
2023-02-27,BGN,1.9558
2023-02-28,BGN,1.9558
2023-03-01,BGN,1.9558
2023-03-02,BGN,1.9558
2023-03-03,BGN,1.9558
2023-03-04,BGN,1.9558
2023-03-05,BGN,1.9558
2023-03-06,BGN,1.9558
2023-03-07,BGN,1.9558
2023-03-08,BGN,1.9558
2023-03-09,BGN,1.9558
2023-03-10,BGN,1.9558
2023-03-11,BGN,1.9558
2023-03-12,BGN,1.9558
2023-03-13,BGN,1.9558
2023-03-14,BGN,1.9558
2023-03-15,BGN,1.9558
2023-03-16,BGN,1.9558
2023-03-17,BGN,1.9558
2023-03-18,BGN,1.9558
2023-03-19,BGN,1.9558
2023-03-20,BGN,1.9558
2023-03-21,BGN,1.9558
2023-03-22,BGN,1.9558
2023-03-23,BGN,1.9558
2023-03-24,BGN,1.9558
2023-03-25,BGN,1.9558
2023-03-26,BGN,1.9558
2023-03-27,BGN,1.9558
2023-03-28,BGN,1.9558
2023-03-29,BGN,1.9558
2023-03-30,BGN,1.9558
2023-03-31,BGN,1.9558
2023-04-01,BGN,1.9558
2023-04-02,BGN,1.9558
2023-04-03,BGN,1.9558
2023-04-04,BGN,1.9558
2023-04-05,BGN,1.9558
2023-04-06,BGN,1.9558
2023-04-07,BGN,1.9558
2023-04-08,BGN,1.9558
2023-04-09,BGN,1.9558
2023-04-10,BGN,1.9558
2023-04-11,BGN,1.9558
2023-04-12,BGN,1.9558
2023-04-13,BGN,1.9558
2023-04-14,BGN,1.9558
2023-04-15,BGN,1.9558
2023-04-16,BGN,1.9558
2023-04-17,BGN,1.9558
2023-04-18,BGN,1.9558
2023-04-19,BGN,1.9558
2023-04-20,BGN,1.9558
2023-04-21,BGN,1.9558
2023-04-22,BGN,1.9558
2023-04-23,BGN,1.9558
2023-04-24,BGN,1.9558
2023-04-25,BGN,1.9558
2023-04-26,BGN,1.9558
2023-04-27,BGN,1.9558
2023-04-28,BGN,1.9558
2023-04-29,BGN,1.9558
2023-04-30,BGN,1.9558
2023-05-01,BGN,1.9558
2023-05-02,BGN,1.9558
2023-05-03,BGN,1.9558
2023-05-04,BGN,1.9558
2023-05-05,BGN,1.9558
2023-05-06,BGN,1.9558
2023-05-07,BGN,1.9558
2023-05-08,BGN,1.9558
2023-05-09,BGN,1.9558
2023-05-10,BGN,1.9558
2023-05-11,BGN,1.9558
2023-05-12,BGN,1.9558
2023-05-13,BGN,1.9558
2023-05-14,BGN,1.9558
2023-05-15,BGN,1.9558
2023-05-16,BGN,1.9558
2023-05-17,BGN,1.9558
2023-05-18,BGN,1.9558
2023-05-19,BGN,1.9558
2023-05-20,BGN,1.9558
2023-05-21,BGN,1.9558
2023-05-22,BGN,1.9558
2023-05-23,BGN,1.9558
2023-05-24,BGN,1.9558
2023-05-25,BGN,1.9558
2023-05-26,BGN,1.9558
2023-05-27,BGN,1.9558
2023-05-28,BGN,1.9558
2023-05-29,BGN,1.9558
2023-05-30,BGN,1.9558
2023-05-31,BGN,1.9558
2023-06-01,BGN,1.9558
2023-06-02,BGN,1.9558
2023-06-03,BGN,1.9558
2023-06-04,BGN,1.9558
2023-06-05,BGN,1.9558
2023-06-06,BGN,1.9558
2023-06-07,BGN,1.9558
2023-06-08,BGN,1.9558
2023-06-09,BGN,1.9558
2023-06-10,BGN,1.9558
2023-06-11,BGN,1.9558
2023-06-12,BGN,1.9558
2023-06-13,BGN,1.9558
2023-06-14,BGN,1.9558
2023-06-15,BGN,1.9558
2023-06-16,BGN,1.9558
2023-06-17,BGN,1.9558
2023-06-18,BGN,1.9558
2023-06-19,BGN,1.9558
2023-06-20,BGN,1.9558
2023-06-21,BGN,1.9558
2023-06-22,BGN,1.9558
2023-06-23,BGN,1.9558
2023-06-24,BGN,1.9558
